ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
11,http://visit.kaunas.lt/en/eat-and-drink/pizzerias/bella-italia/,BELLA ITALIA,"S. Daukanto g. 14, Kaunas",+370 37 777 444,daukanto14@gmail.com,www.pasromanopaolo.lt,,"

Italian pizza restaurant „Bella Italia“.


Read more
Less

",PIZZERIAS
12,http://visit.kaunas.lt/en/eat-and-drink/traditional-cuisine/bajoru-kiemas/,BAJORŲ KIEMAS,"Islandijos pl. 32, PC MEGA, Kaunas",+370 616 88 677,mega@bajorukiemas.lt,www.bajorukiemas.lt,,"

    


Read more
Less

",TRADITIONAL CUISINE
13,http://visit.kaunas.lt/en/eat-and-drink/greitas-maistas/ipu/,IPU,"Nemuno g. 45, Kaunas",+370 670 36 338,deiruslt@gmail.com,http://www.ipu.lt/,"I - III 11:00 - 22:00
IV 11:00 - 06:00
V 11:00 - 07:00
VI 12:00 - 07:00
VII 12:00 - 22:00","

Sushi restaurant in Kaunas.


Read more
Less


",FAST FOOD
14,http://visit.kaunas.lt/en/eat-and-drink/gastronomy/oldest-restaurant-in-kaunas-theres-two-of-them/,,,,,,,,GASTRONOMY
15,http://visit.kaunas.lt/en/eat-and-drink/bars/republic-no-2/,Republic No. 3,"Vilniaus g. 10, Kaunas",+370 614 44 244,info@pub.lt,www.pub.lt,"I - IV - 11:00 - 02:00
V - VI - 11:00 - 06:00
VII - 12:00 - 02:00","

RePUBlic – English style pub at Kaunas city old town.


Read more
Less

",BARS
16,http://visit.kaunas.lt/en/eat-and-drink/bars/piano-piano/,PIANO PIANO,"Rotušės a. 4, Kaunas ",+370 662 42 453 ,vynine@pianopiano.lt ,www.pianopiano.lt,,"

Italian food and wine cafe in the Kaunas Old Town.


Read more
Less

",BARS
17,http://visit.kaunas.lt/en/eat-and-drink/naujas-produktu-kategorija-2/caif-cafe/,CAIF CAFE,"Laisvės al. 50, Kaunas",+370 659 25 644,,www.caifcafe.lt,I - VII 09:00 - 21:00,"

   


Read more
Less

",COFFEE LOVERS
18,http://visit.kaunas.lt/en/eat-and-drink/pizzerias/charlie-pizza/,CHARLIE PIZZA,"Karaliaus Mindaugo pr. 49, Kaunas ", +370 662 35 227,,www.charlie.lt,,"

Other ""Charlie pizza"" restaurants in Kaunas : 
Islandijos pl. 32, Kaunas (PLC ""Mega"")   Tel. +370620 66 319
Baltijos g. 59, Kaunas  Tel. +370 610 25 124
Laisvės al. 68, Kaunas (""Metropolis"")  Tel. +370 693 61 955


Read more
Less

",PIZZERIAS
19,http://visit.kaunas.lt/en/eat-and-drink/restaurants/vista-puode/,"Restaurant ""Višta Puode"" (Chicken in a bowl) ","S. Daukanto g. 23, Kaunas",+370 693 63 777,,www.vištapuode.lt,I - VII 08:00 - 23:00,"

Organic products from farmers of Lithuania are what the food is made from in this restaurant. Traditional lithuanian dishes, that you used to eat in childhood will bring back the memories. The place suits best the ones who are seeking to have healthy eating habits and young children as well.Tradition and modernity becomes one in there and makes the place extra comfy. That is why the outdoor furniture is also a bit modern, but still simple and comfortable.


Read more
Less

",RESTAURANTS
20,http://visit.kaunas.lt/en/eat-and-drink/cafes/kuhne/,KUHNE,Žemaičių g. 29 Kaunas,8 633 20 000,@kapok.mesa,http://www.kuhne.lt/,,"

Meat dishes restaurant.


Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/cafes/kuhne/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",CAFES
21,http://visit.kaunas.lt/en/eat-and-drink/bars/lizdas/,Lizdas,"Nepriklausomybės aikštė 12, Kaunas",+370 698 18 261,,www.lizdasbar.lt,V - VI - 21:00 - 06:00,"

Lizdas - bar at Kaunas city center.


Read more
Less

",BARS
22,http://visit.kaunas.lt/en/eat-and-drink/restaurants/medziotoju-uzeiga/,MEDŽIOTOJŲ UŽEIGA,"Rotušės a. 10, Kaunas",+370 37 320 956,info@medziotojai.lt,www.medziotojai.lt,I - VII 11:00 - 24:00,"

Already since 1965, guests are offered the highest quality of game dishes. The main aim of the restaurant - use only fresh, Lithuania's products. Therefore, hunters inn ""kitchen especially appreciated for the high quality of the dishes and, of course, excellent service.


Read more
Less

",RESTAURANTS
23,http://visit.kaunas.lt/en/eat-and-drink/restaurants/monte-pacis/,MONTE PACIS,"T.Masiulio g. 31, Kaunas",+370 655 95 185, info@montepacis.lt,www.montepacis.lt,"I - IV 12:00 - 22:00 
V - VI 12:00 - 23:00
VII 12:00 - 22:00","

Monte Pacis is housed in a beautiful building in the functioning monastery building and it is situated on the peninsula surrounded by the Kaunas lagoon. An almost 100-meter long linden tree alley leads to the entrance. The rooms and apartments at Monte Pacis are classically decorated in the Baroque style and each comes with a minibar and a private bathroom with a bath or a shower.Breakfast, lunch and a la carte dinner are served in restaurant and its menu is based on local and seasonal produce. The wine selection includes authentic wine made by the monks. In the summer season guests can enjoy a salad and barbeque bar open on the terrace.There is a 24-hour front desk and an airport shuttle is offered at an extra fee. The centre of Kaunas is 10 km away and so is the airport. There is a beach 300 metres away from Monte Pacis.


Read more
Less

",RESTAURANTS
24,http://visit.kaunas.lt/en/eat-and-drink/restaurants/rezisierius/,REŽISIERIUS,"Vilniaus g. 10, Kaunas",+370 616 44 443, info@rezisierius.lt,www.rezisierius.lt,"I - IV 12:00 - 00:00
V - VI 12:00 - 02:00
VII 12:00 - 00:00
","

Between drama and romance - that is how you are going to feel in this restaurant.


Read more
Less

",RESTAURANTS
25,http://visit.kaunas.lt/en/eat-and-drink/restaurants/uoksas/,UOKSAS,"Maironio g. 28, Kaunas",+370 686 38 881,uoksas@uoksas.eu,www.uoksas.eu,"I 12:00 - 20:00
II- IV 12:00 - 22:00
V - VI 12:00 - 23:00
VII 12:00 - 18:00","

Brief and often updated seasonal menu. High quality lithuanian products and modern production technology. Restaurant is rated among the best restaurants in the Baltics (rated in the White Nordic Guide).


Read more
Less

",RESTAURANTS
26,http://visit.kaunas.lt/en/eat-and-drink/pizzerias/cancan-pizza/,CANCAN PIZZA,"Laisvės al. 118, Kaunas",+370 659 23 120,,www.cancan.lt ,,"

Others ""CanCan Pizza"" restaurants in Kaunas: 
Karaliaus Mindaugo pr. 49, Kaunas (PPC ""AKROPOLIS"")  Tel. +370 659 90 406
Islandijos pl. 32, Kaunas (PLC ""MEGA"")  Tel. +370 659 90 408
Pramonės pr. 29, Kaunas (PC ""Maxima"")   Tel. +370 659 56 362
Veiverių g. 150b, Kaunas (PC ""Maxima bazė"")  Tel. +370 659 90 409
Savanorių pr. 255, Kaunas (PC ""Maxima"")   Tel. +370 659 85 517


Read more
Less

",PIZZERIAS
27,http://visit.kaunas.lt/en/eat-and-drink/bars/hopdoc-gastropub/,HopDoc Gastropub,"Daukšos g. 23, Kaunas",+370 37 227 656,info@hopdoc.lt,www.hopdoc.lt,"I - IV - 12:00 - 24:00
V - VI - 12:00 - 02:00
VII - 12:00 - 22:00","

Pub at Kaunas old town.


Read more
Less

",BARS
28,http://visit.kaunas.lt/en/eat-and-drink/naujas-produktu-kategorija-2/green-cafe-2/,Green Cafe,"Laisvės al. 80, Kaunas",+370 612 44 335,,https://www.facebook.com/greencafe.europe,"I - V - 07:30 a.m. - 09:00 p.m. 
VI - 09:00 a.m. - 08:00 p.m. 
VII - 10:00 a.m. - 07:00 p.m.","

Green Cafe - 35 types of coffee, even from more than 20 countries, 10 coffee-making techniques!


Read more
Less

",COFFEE LOVERS
29,http://visit.kaunas.lt/en/eat-and-drink/restaurants/lartisan/,L’ARTISAN,"T. Daugirdo g. 4, Kaunas",+370 37 301 561,hotel@daugirdas.lt,www.daugirdas.lt,I - VII 12:00 - 23:00,"

XVI century Gothic basements with frescos have four restaurant halls.


Read more
Less

",RESTAURANTS
30,http://visit.kaunas.lt/en/eat-and-drink/greitas-maistas/hesburger/,HESBURGER,"Laisvės al. 48, Kaunas  ",+370 673 03 129,laisves@hesburger.lt,www.hesburger.lt,"I - VI 9:00 - 21:00
VI - VII 12:00 - 20:00","

Fast food restaurant in Kaunas.


Read more
Less

",FAST FOOD
31,http://visit.kaunas.lt/en/eat-and-drink/bars/ginger-bar/,GINGER BAR,"K. Donelaičio g. 27 , Kaunas ",+370 37 306 100 ,info.kaunas@rezidorparkinn.com ,www.parkinn.lt/hotel-kaunas/restoranai-ir-baras,"I - V  08:00 - 24:00
V - VII  11:00 - 24:00","

   


Read more
Less

",BARS
32,http://visit.kaunas.lt/en/eat-and-drink/bars/b-o-blue-orange/,BO (BLUE ORANGE),"Muitinės g. 9, Kaunas",+370 37 206 542,info@blueorange.lt,www.blueorange.lt,"I - IV 17.00- 02.00
V - VI 17.00 - 03.00
VII 17.00 - 02.00","

BO (Blue Orange) is a bar located in the heart of Kaunas Old Town. It is a place with a long history, huge assortment of beer and very friendly and relaxed staff. From the very first moment you cross our blue door, you will find yourself in the alternative and freedom-radiant environment, full of unforgettable artistic souls and extraordinary atmosphere.


Read more
Less

",BARS
33,http://visit.kaunas.lt/en/eat-and-drink/restaurants/daniela/,DANIELA,"A. Mickevičiaus g. 28, Kaunas",+370 37 321 505,restaurant.k@bestbaltichotels.eu,danielahotel.lt,,"

Restaurant DANIELA with 80 seats is located on the first floor. Guests can enjoy Local & European specialties and a high-quality selection of worldwide wines. Enjoy an excellent buffet breakfast of fine cheeses, fresh vegetables and hot dishes. We offer our visitors business dinners, lunches and diversity of snacks. Elegant restaurant DANIELA surroundings will be pleasant for all of our guests. This is the best place for business dinners, romance evenings and for friendly parties.


Read more
Less

",RESTAURANTS
34,http://visit.kaunas.lt/en/eat-and-drink/pizzerias/pizza-express/,PIZZA EXPRESS," P. Lukšio 60 (PC ""IKI""), Kaunas",+370 612 05 253,,www.noriupicos.lt,,"

Other ""Pizza Express"" restaurants:Veiverių g. 45A, Kaunas. Phone number +370 673 99 277 Savanorių pr. 209, Kaunas. Phone number +370 648 87 777 Savanorių pr. 286 A, Kaunas. Phone number  +370 608 56 464 Savanorių pr. 60, Kaunas. Phone number  +370 609 98 300 Baltų pr. 13, Kaunas. Phone number  +370 612 97 982 Sukilėlių pr. 84 A, Kaunas. Phone number  +370 616 70 999 Varnių g. 48 A, Kaunas. Phone number  +370 611 50 999 


Read more
Less

",PIZZERIAS
35,http://visit.kaunas.lt/en/eat-and-drink/bars/dzem-pub/,DŽEM PUB,"Laisvės al. 59 (5 aukštas), Kaunas",+370 657 45 003,info@dzempub.lt ,www.dzempub.lt,"II - IV 18:00 - 03:00
V - VI 18:00 - 04:00","

Bar in Kaunas center.


Read more
Less

",BARS
36,http://visit.kaunas.lt/en/eat-and-drink/cafes/peledine/,Pelėdinė,"Šv. Gertrūdos g. 22, Kaunas",+370  677 94 267,info@peledine.lt,http://www.peledine.lt/,,"

Burgers restaurant.


Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/cafes/peledine/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",CAFES
37,http://visit.kaunas.lt/en/eat-and-drink/naujas-produktu-kategorija-2/vero-coffee-house/,VERO COFFEE HOUSE,"A. Juozapavičiaus pr. 90, Kaunas",+370 682 55 855,info@verocafe.lt,http://www.verocafe.lt/,"I - V 07:30 - 20:00
VI - 09:00 - 20:00
VII - 10:00 - 18:00
","

   


Read more
Less

",COFFEE LOVERS
38,http://visit.kaunas.lt/en/eat-and-drink/naujas-produktu-kategorija-2/coffee-inn/,COFFEE INN,"Laisvės al. 72, Kaunas",+370 699 77 541,,www.coffee-inn.lt,,"

Others Coffee Inn:
Laisvės al. 89, Tel. +370 699 77 541
Vilniaus g. 28, Tel. +370 699 77 541


Read more
Less

",COFFEE LOVERS
39,http://visit.kaunas.lt/en/eat-and-drink/gastronomy/lihuanian-cuisine/,,,,,,,,GASTRONOMY
40,http://visit.kaunas.lt/en/eat-and-drink/bars/shamrock/,Shamrock,"Vilniaus g. 13, Kaunas",+370 641 54 100,,www.facebook.com/PubShamrock,I - VII - 11:00 - 00:00,"

Pub at Kaunas old town.


Read more
Less

",BARS
41,http://visit.kaunas.lt/en/eat-and-drink/bars/djan-go-2/,DJAN - GO,"Rotušės a.29, Kaunas",+370 608 07 400,,www.facebook.com/djangobaras,"V - VI - 17:00 - 08:00
","

Lounge in Kaunas old town.


Read more
Less

",BARS
42,http://visit.kaunas.lt/en/eat-and-drink/bars/klimas/,Klimas,"Rotušės a. 3, Kaunas",+370 633 80 545,barasklimas@gmail.com,,I - VII 17:00 - 02:00,"


Beer and cocktails pub.



Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/bars/klimas/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",BARS
43,http://visit.kaunas.lt/en/eat-and-drink/greitas-maistas/juodas/,Juodas,"Savanorių pr. 288, Kaunas",+370 615 22 522,juodasbar@gmail.com,juodasbar.lt,I - VII 11:00 - 23:00,"


Japanese and Chinese fast food restaurant.



Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/greitas-maistas/juodas/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",FAST FOOD
44,http://visit.kaunas.lt/en/eat-and-drink/restaurants/grill-london/,Grill London (Laisvės al.),"Laisvės al. 72, Kaunas",+370 614 21 000,,grilllondon.lt,I - VII 11:00 - 24:00,"

   London Grill - on coals grilled food restaurant.


Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/restaurants/grill-london/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",RESTAURANTS
45,http://visit.kaunas.lt/en/eat-and-drink/bars/viskio-baras-w-1640/,"Whiskey bar ""W 1640""","Kurpių g. 29, Kaunas",+370 657 53 440,baras@w1640.com,www.viskiobaras.lt/w1640/,"II - IV 17:00 - 01:00
V - VI 17:00 - 05:00
","

Whiskey bar in Kaunas.


Read more
Less

",BARS
46,http://visit.kaunas.lt/en/eat-and-drink/restaurants/avilys/,AVILYS,"Vilniaus g. 34, Kaunas",+370 655 02 626,info@avilys.lt,www.avilys.lt,"I - IV 12:00 - 24:00
V - VI 12:00 - 02:00
VII 12:00 - 24:00","

Legendary restaurant - brewery „Avilys“, situated in Kaunas Old Town, offers You: Specialty dishes and beer. You surely won‘t forget the taste of beer soup, smoked shank, hot doughnuts of cheese, chicken wings, beer sherbet, beer grog, velvet cocktail.


Read more
Less

",RESTAURANTS
47,http://visit.kaunas.lt/en/eat-and-drink/restaurants/diverso/,DIVERSO,"K. Donelaičio g. 27, Kaunas",+370 37 306 100,info.kaunas@rezidorparkinn.com,www.parkinn.lt/hotel-kaunas,,"

Restaurant Diverso, located at the Park Inn by Radisson hotel, is a top choice for high-quality European cuisine.


Read more
Less

",RESTAURANTS
48,http://visit.kaunas.lt/en/eat-and-drink/cafes/la-crepe/,LA CREPE,"Karaliaus Mindaugo pr. 49, Kaunas ",+370 620 71 398 ,,www.lacrepe.lt,,"

„La Crepe“ – cozy cafe in the Kaunas city center. Breakfast, Lunch, Dinner, Coffee and Drinks.


Read more
Less

",CAFES
49,http://visit.kaunas.lt/en/eat-and-drink/bars/2-obuolio/,2½ Obuolio,"Palangos g. 9, Kaunas",+370 621 16 108,info@ciderpub.lt,,"II - IV 17:00 - 02:00
VI 14:00 - 04:00","

The only one cider bar in Lithuania.


Read more
Less








//<![CDATA[

			var _map_icon = 'themes/kaunastic/images/sprite.png';
			$('#instagram').jqinstapics({
				'user_id': '1012822916',
				'access_token': '1012822916.1677ed0.ed69e18296d14295902d372868058fde',
				'count': 6
			});
		

//]]>//<![CDATA[

				var _places_data = {
					in_cluster_text: '',
					icon_sprite: 'themes/kaunastic/images/sprite.png',
					icon_markers: 'themes/kaunastic/images/marker-numbers.png',
					actions_link: '/en/eat-and-drink/bars/2-obuolio/',
					route: '0',
				};

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>//<![CDATA[
(function($) {
	jQuery(document).ready(function() {
		$(""#Form_Form"").validate({
			errorPlacement: function(error, element) {
				error.insertAfter(element);
			},
			focusCleanup: true,
			messages: {Email:{
required: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter your Email *  field<span></span></span>"",
email: ""<span class='exclamation'></span><span class='validation-bubble'>Please enter a valid email address<span></span></span>""
}},
			rules: {Email:{required: true, email: true}}
		});
	});
})(jQuery);

//]]>

",BARS
50,http://visit.kaunas.lt/en/eat-and-drink/bars/startas/,Startas,"Vilniaus g. 40, Kaunas",+370 655 13 113,denas_sakavicius@yahoo.com,,"I - IV - 17:00 - 23:00
V - VI - 17:00 - 03:00
VII - 17:00 - 23:00","

Bar at Kaunas old town.


Read more
Less

",BARS
51,http://visit.kaunas.lt/en/eat-and-drink/bars/yzy-bar/,Yzy bar,"Vilniaus g. 19, Kaunas",+370 655 15 066,yzybaras@gmail.com,www.facebook.com/YZYbar,"I-IV 12:00 - 00:00
V-VI 12:00 - 03:00
VII 12:00 - 00:00","

 Cocktails bar.


Read more
Less

",BARS
