ID,Source,Title,Address,Phone,Email,Website,Working Hours,Date,Price,Description,Category
45,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/reflections-of-kaunas-modernistic-architecture/,Reflections of Kaunas modernistic architecture,"Rotušės a. 15, Kaunas",+370 616 23828,info@kaunasin.lt,,,,,,TOURS IN KAUNAS
46,http://visit.kaunas.lt/en/to-do/nightlife/night-clubs/gargaras/,Gargaras,"Raudondvario pl. 101, Kaunas",+370 637 71 717,info@gargaras.lt,www.gargaras.lt,,,,,NIGHT CLUBS
47,http://visit.kaunas.lt/en/to-do/nightlife/night-clubs/dejavu-party-bar/,Dejavu Party Bar ,"Rotušės a. 2, Kaunas",+370 692 22 220,dejavupartybar@inbox.lt,https://www.facebook.com/DejavuPartyBar/,III-VI 23:00 - 05:00,III-VI 23:00 - 05:00,,,NIGHT CLUBS
48,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/vytautas-the-great-war-museum/,VYTAUTAS THE GREAT WAR MUSEUM,"K. Donelaičio g. 64, Kaunas ",+370 37 320 765,vdkaromuziejus@kam.lt,www.kariuomene.kam.lt/lt/karo_muziejus.html,II - VII 10:00 – 17:00,II - VII 10:00 – 17:00,"Adults - 2 EUR, children, students, seniors - 1 EUR",,MUSEUM
49,http://visit.kaunas.lt/en/to-do/active-leisure/bowling-billiards/undine/,UNDINĖ,"Jonavos g. 40, Kaunas",+370 686 22 337,info@undine.lt,www.undine.lt,"I 11:00 - 00:00
II-VI 11:00 - 01:00
VII 11:00 - 00:00","I 11:00 - 00:00
II-VI 11:00 - 01:00
VII 11:00 - 00:00",,,"BOWLING, BILLIARDS"
50,http://visit.kaunas.lt/en/to-do/shopping/shopping-centers/trade-town-urmas/,"Trade town ""Urmas""","Pramonės pr. 16, Kaunas",+370 37 350 662,info@urmas.net,www.urmas.net,"I-V 9:00-18:00
VI 9:00-17:00
VII  9:00-15:00","I-V 9:00-18:00
VI 9:00-17:00
VII  9:00-15:00",,"The URMAS Trade Town is a huge complex building of shops and original markets with own traditions. The Trade Town offers everything one might need in more than 2000 stores: from a tooth brush to fur coats, furniture, etc. Visitors do not need to waste much time searching for the items they need because the goods are displayed in small-sized glass “boutiques”. The main necessities are put on view near the main “aisles”. A convenient way to get to the URMAS Trade Town from the center of the city is by trolleybus No. 15 or 16.",SHOPPING CENTERS
51,http://visit.kaunas.lt/en/to-do/active-leisure/in-the-sky/air-balloon-fligh/,Air balloon fligh,,+370 618 30 069,info@orobalionas.lt,www.skrydziaiorobalionais.lt,,,,A FLIGHT IN A BALLOON IS ONE OF PLEASURE!,IN THE SKY
52,http://visit.kaunas.lt/en/to-do/active-leisure/paintball/saudom/,"""Šaudom""","Girstupio g. 6, Kaunas",+370 682 44 555,info@saudom.lt,http://saudom.lt/lt,,,,,PAINTBALL
53,http://visit.kaunas.lt/en/to-do/health-and-leisure/spa-and-wellness-centers/biofirst-advanced-medical-and-beauty-clinic/,BIOFIRST –  ADVANCED MEDICINE AND BEAUTY CLINIC,"Studentų g. 37, Kaunas",+370 686 40 115,info@bioklinika.lt,http://www.biogrozis.lt/,"I - V -  09:00 – 20:00
VI - 09:00 – 15:00 ","I - V -  09:00 – 20:00
VI - 09:00 – 15:00 ",,,SPA AND WELLNESS CENTERS
54,http://visit.kaunas.lt/en/to-do/shopping/souvenirs/ploksteliu-parduotuve/,Records shop ,"Kęstučio g. 7, Kaunas",+370 671 49516,ploksteliuparduotuve@gmail.com,www.ploksteliuparduotuve.lt,"I–V 10:00 – 18:00
 VI 10:00  – 14:00","I–V 10:00 – 18:00
 VI 10:00  – 14:00",,"Using our Okki Nokki Record Cleaning Machine, we offer a complete record cleaning service to help bring your vinyl back to life.",SOUVENIRS
55,http://visit.kaunas.lt/en/to-do/health-and-leisure/spa-and-wellness-centers/toscana/,Toscana,T. Masiulio g. 18E,+370 602 77 777,info@parkhotel.lt,www.pazaislisparkhotel.lt,,,,Sauna,SPA AND WELLNESS CENTERS
56,http://visit.kaunas.lt/en/to-do/shopping/souvenirs/gintarinis-suvenyras/,Gintarinis suvenyras,"Vilniaus g. 14, Kaunas",+370 37 225 126,info@gintarinissuvenyras.lt,http://balticbuy.com/,I - VI 10:00 - 18:30,I - VI 10:00 - 18:30,,"Pieces of amber, linen and brass. ",SOUVENIRS
57,http://visit.kaunas.lt/en/to-do/active-leisure/rental/bicycle-rental-and-service-babilonas/,"Bicycle rental and service ""Babilonas""","Žalioji g. 38A, Kaunas ",+370 612 62 601,babilonas@babilonas.lt,www.babilonas.lt,,,,,RENTAL
58,http://visit.kaunas.lt/en/to-do/health-and-leisure/beauty-salon/junora-beauty-lab/,Junora beauty lab,"Karaliaus Mindaugo pr. 7, Kaunas",+370 37 464 464,info@junora.lt,http://www.junora.lt/,,,,,BEAUTY SALON
59,http://visit.kaunas.lt/en/to-do/culture-cinema/theater/aura-dance-theater/,Aura Dance Theater,"M. Daukšos g. 30a, Kaunas",+370 37 202 062,info@aura.lt ,www.aura.lt,,,,"AURA is the only one municipal theatre of contemporary dance in Lithuania and one of a very few companies of contemporary dance in Lithuania that shows the skills of the professional dance. Artistic director Birute Letukaite and the dancers of the company dedicate themselves to modern dance and its traditions, which are tightly associated with such outstanding figures as pioneers of expressive dance in Lithuania Danute Nasvytyte and her follower was a student of Kira Daujotaite in the Dance Company “Sonata”. Birute Letukaite spent ten years in the company where she learned the skills of expressive dance. ",THEATER
60,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-city-tour/,KAUNAS CITY TOUR ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,,,TOURS IN KAUNAS
61,http://visit.kaunas.lt/en/to-do/traditional-events/june/kaunas-city-pupils-song-festival/,KAUNAS CITY PUPILS’ SONG FESTIVAL (June),,+370 52 611 190,lnkc@lnkc.lt,www.dainusvente.lt,Birželis,Birželis,,,JUNE
62,http://visit.kaunas.lt/en/to-do/shopping/markets/car-boot-sales/,Car Boot Sales,"Pramonės pr. 16, Kaunas",+370 37 350 662,info@urmas.net,www.bagaziniuturgus.lt,VII 8:00 - 15:00,VII 8:00 - 15:00,,,MARKETS
63,http://visit.kaunas.lt/en/to-do/active-leisure/extreme/dock7/,DOCK7,"Tiesioji g. 1, Noreikiškiu km. Ringaudu sen. Kauno, Kauno Apskritis",+370 606 44 099,info@dock7.lt,http://www.dock7.lt/,,,,,EXTREME
64,http://visit.kaunas.lt/en/to-do/shopping/flowers/geliu-sala/,Gėlių Sala,"Veiverių g.150, Kaunas ",+370 640 84 468,geliupristatymas.net@gmail.com ,http://www.gelesinternetu.eu/,"I-VI 08:00 - 20:00
VII  09:00 - 18:00","I-VI 08:00 - 20:00
VII  09:00 - 18:00",, ,FLOWERS
65,http://visit.kaunas.lt/en/to-do/nightlife/night-clubs/michelle/,Michelle,"Rotušės aikštė 3, Kaunas ",+370 630 04 666,info@michelle.lt,https://www.facebook.com/michelle.kaunas/,,,,,NIGHT CLUBS
66,http://visit.kaunas.lt/en/to-do/active-leisure/horse-riding/zirgo-zingsnis/,"""Žirgo žingsnis""","Pociūnų k., Vandžiogalos sen., Kauno raj.",+370 682 25 952,dalia@zirgozingsnis.lt,www.zirgozingsnis.lt,,,,,HORSE RIDING
67,http://visit.kaunas.lt/en/to-do/active-leisure/in-the-sky/paragliding/,Paragliding,Kaunas,+370 671 01 050,padovanokskrydi@gmail.com,https://www.facebook.com/PadovanokSkrydi.lt/,,,,,IN THE SKY
68,http://visit.kaunas.lt/en/to-do/active-leisure/extreme/ka-ringas/,"""KA-RINGAS"" ","Draugystės g. 19, Kaunas",+370 678 15 676,info@ka-ringas.lt,www.ka-ringas.lt,,,,,EXTREME
69,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/childrens-entertainment-center-euroopa/,"Children's entertainment center ""EUROOPA""","Karaliaus Mindaugo pr. 49, Kaunas",+370 615 65 953,info@pramoguimperija.lt,www.pramoguimperija.lt,I - VII  10:00 - 21:00,I - VII  10:00 - 21:00,,,PLAYING ROOMS
70,http://visit.kaunas.lt/en/to-do/health-and-leisure/beauty-salon/carolina-make-up-studio/,Carolina make-up studio,"M. Daukšos g. 43, Kaunas",+370 671 12140,kaunas@carolina.lt,https://www.carolina.lt/,,,,,BEAUTY SALON
71,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/naujas-lankytinos-vietos-2/,VS Fitness,"Islandijos pl. 32, Kaunas",+370 637 77 474,kaunas@vs-fitness.lt,www.vs-fitness.lt,"I-V 6:30 – 22:00
VI - VII 8:00 – 18:00","I-V 6:30 – 22:00
VI - VII 8:00 – 18:00",,"VS FITNESS - is the largest sports and wellness center in the Baltic countries, where you can always feel comfortable, efficiently save your time, and boldly discover your new opportunities.",SPORT CLUBS
72,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/kaunas-the-city-of-design/,KAUNAS - THE CITY OF DESIGN,"Laisvės al. 36, Kaunas",+370 37 323 436,Info@kaunastic.lt,,,,,,TOURS IN KAUNAS
73,http://visit.kaunas.lt/en/to-do/traditional-events/june/bike-show-and-auto-show-millennium/,BIKE SHOW & AUTO SHOW MILLENNIUM (MAY - JUNE),,+370 682 66 666,JULIUS666@TAKAS.LT,www.bikeshow.lt,Birželis,Birželis,,,JUNE
74,http://visit.kaunas.lt/en/to-do/culture-cinema/cinema/romuva/,Romuva," Laisvės al. 54, Kaunas",+370 37 202 788, info@kcromuva.lt,http://kcromuva.lt/,,,,,CINEMA
75,http://visit.kaunas.lt/en/to-do/for-children/active/rio-arena/,Rio arena,"Kaunakiemio g. 5, Kaunas 44333",+370 647 82 577,info@rioarena.lt,www.rioarena.lt,"I - VII 10:00 - 23:00
","I - VII 10:00 - 23:00
",,,ACTIVE
76,http://visit.kaunas.lt/en/to-do/active-leisure/in-the-sky/kaunas-skydiving-club/,Kaunas skydiving club,"Pociūnai, Prienų r.",+370 698 10 510,kestasm@skydive.lt,https://www.skydive.lt/en/,,,,"Recently, the club has performed up to 10,000 different parachuting jumps. We are meeting citizens of Poland, Latvia, Russia and other neighboring countries almost every weekend. Since mid-July 1999 the traditional event has been organized every year for parachute jump gathering - ""Pociūnai Boogie"".",IN THE SKY
77,http://visit.kaunas.lt/en/to-do/active-leisure/extreme/climbing-center-miegantys-drambliai/,"Climbing center ""Miegantys drambliai""","V. Krėvės pr. 49, Kaunas",+370 617 64 640,info@laipiojimocentras.lt,www.laipiojimocentras.lt/,"I - V 15:00 - 21:00
VI - VII 12:00 - 18:00","I - V 15:00 - 21:00
VI - VII 12:00 - 18:00",,,EXTREME
78,http://visit.kaunas.lt/en/to-do/health-and-leisure/beauty-salon/bote-bote/,bote bote,"Kęstučio g. 51, Kaunas",+370 641 05 555,groziostudija.bote@gmail.com,http://www.botebote.lt/grozio-studija-kaune,,,,,BEAUTY SALON
79,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/zalgiris-sport-complex/,ŽALGIRIS Sport Complex,"A. ir J. Gravrogkų g. 4, Kaunas",+370 604 03 155,sportas@zalgiris-kompleksas.lt,www.zalgiris-kompleksas.lt,"I - V 07:00 - 23:00
VI - VII 07:00 - 21:00","I - V 07:00 - 23:00
VI - VII 07:00 - 21:00",,"At Žalgiris Sport Complex, visitors of all ages can choose activities for improving the health of the body. Exercises will give you a sense of good mood.",SPORT CLUBS
80,http://visit.kaunas.lt/en/to-do/health-and-leisure/sport-clubs/fankas-aerobics-and-sport-club/,FANKAS aerobics and sport club,"Savanorių pr. 66 / Žemaičių g. 31, Kaunas",+370 37 426 868,info@fankas.lt,www.fankas.lt,"I - IV 06:30 - 23:00
V 06:30 - 22:00
VI 09:00 - 18:00
VII 09:00 - 18:00","I - IV 06:30 - 23:00
V 06:30 - 22:00
VI 09:00 - 18:00
VII 09:00 - 18:00",,,SPORT CLUBS
81,http://visit.kaunas.lt/en/to-do/culture-cinema/theater/kaunas-chamber-theatre/,KAUNAS CHAMBER THEATRE,"Kęstučio g. 74a, Kaunas",+370 612 62 226,info@kamerinisteatras.lt,www.kamerinisteatras.lt,,,,,THEATER
82,http://visit.kaunas.lt/en/to-do/tours/tours-in-kaunas/the-old-town-secrets-in-kaunas/,THE OLD TOWN SECRETS IN KAUNAS ,"Laisvės al. 36, Kaunas",+370 37 323 436,info@kaunastic.lt,,,,,,TOURS IN KAUNAS
83,http://visit.kaunas.lt/en/to-do/traditional-events/june/pazaislis-music-festival/,PAŽAISLIS MUSIC FESTIVAL (JUNE - AUGUST),,+370 37 200 478,info@pazaislis.lt,www.pazaislis.lt,Birželis - Rugpjūtis,Birželis - Rugpjūtis,,,JUNE
84,http://visit.kaunas.lt/en/to-do/for-children/active/bam-zona/,BAM ZONA,"Savanorių pr. 352, Kaunas",+370 698 17 747,info@bamzona.lt,https://www.bamzona.lt/,,,,,ACTIVE
85,http://visit.kaunas.lt/en/information/transport/s-dariaus-ir-s-gireno-aerodromas/,S. Darius and S. Girėnas airfield,"Veiverių g. 132 / Karo Aviacijos g. 3, Kaunas",+370 632 88 111,aleksotoaerodromas@gmail.com,http://aleksotasair.lt/,,,,"S. Darius and S. Girėnas airfield is marked as a national treasure, protected by the government and is included in the list of “Best flying destination in Europe”.",TRANSPORT
86,http://visit.kaunas.lt/en/to-do/boat-trips/kaunas-birstonas-kaunas/,Kaunas – Birštonas – Kaunas,"T. Masiulio g. 21, Kaunas",+370 616 23828,info@kaunasin.lt,,,,,,BOAT TRIPS
87,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/lithuanian-open-air-folk-museum/,Lithuanian open air folk museum ,"L.Lekavičiaus g. 2, Rumšiškės, Kaišiadorių r. ",+370 346 47 392,info@llbm.lt,www.llbm.lt,"Interior exposures opened: (May-September) I - VII, 10 AM - 6 PM; (1-15 of October.): I - VII, 10 AM - 6 PM; Interior exposure closed: (May-September)) I - VII 6 PM - 8 PM; (16th of October-March). I - VII 10 AM - 4 PM; (April). I - VII 10 AM - 5 PM","Interior exposures opened: (May-September) I - VII, 10 AM - 6 PM; (1-15 of October.): I - VII, 10 AM - 6 PM; Interior exposure closed: (May-September)) I - VII 6 PM - 8 PM; (16th of October-March). I - VII 10 AM - 4 PM; (April). I - VII 10 AM - 5 PM","Adults - 4 EUR, children, students, seniors - 2 EUR.",The Open-Air Museum of Lithuania ,MUSEUM
