ID,Source,Title,Address,Phone,Email,Website,Working Hours,Description,Category
11,http://visit.kaunas.lt/en/to-do/for-children/active/rio-arena/,Rio arena,"Kaunakiemio g. 5, Kaunas 44333",+370 647 82 577,info@rioarena.lt,www.rioarena.lt,"I - VII 10:00 - 23:00
",,ACTIVE
12,http://visit.kaunas.lt/en/to-do/active-leisure/extreme/climbing-center-miegantys-drambliai/,"Climbing center ""Miegantys drambliai""","V. Krėvės pr. 49, Kaunas",+370 617 64 640,info@laipiojimocentras.lt,www.laipiojimocentras.lt/,"I - V 15:00 - 21:00
VI - VII 12:00 - 18:00",,EXTREME
13,http://visit.kaunas.lt/en/to-do/for-children/active/bam-zona/,BAM ZONA,"Savanorių pr. 352, Kaunas",+370 698 17 747,info@bamzona.lt,https://www.bamzona.lt/,,,ACTIVE
14,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/lithuanian-open-air-folk-museum/,Lithuanian open air folk museum ,"L.Lekavičiaus g. 2, Rumšiškės, Kaišiadorių r. ",+370 346 47 392,info@llbm.lt,www.llbm.lt,"Interior exposures opened: (May-September) I - VII, 10 AM - 6 PM; (1-15 of October.): I - VII, 10 AM - 6 PM; Interior exposure closed: (May-September)) I - VII 6 PM - 8 PM; (16th of October-March). I - VII 10 AM - 4 PM; (April). I - VII 10 AM - 5 PM",The Open-Air Museum of Lithuania ,MUSEUM
15,http://visit.kaunas.lt/en/to-see/top/kauno-funilukieriai/,Aleksotas funicular,"Amerikos Lietuvių g. 6, Kaunas",+370 37 391 086,,,"I-VII 07:00 - 19:00 (Lunch 13:00 - 14:00)
",,TOP
16,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/museum-of-the-history-of-lithuanian-medicine-and-pharmacy/,MUSEUM OF THE HISTORY OF LITHUANIAN MEDICINE AND PHARMACY,"Rotušės a. 28, Kaunas ",+370 37 201 569 ,muziejus@lsmuni.lt,,II – VI 10 AM – 5 PM,,MUSEUM
17,http://visit.kaunas.lt/en/to-see/top/zaliakalnio-funikulierius/,Žaliakalnis funicular,"Aušros g. 6, Kaunas",+370 37 425 882,,,"I-V 07:00 - 19:00, VI 09:00 - 19:00",,TOP
18,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/draugus/,"""Draugus""","K. Petrausko g. 13, Kaunas ",+370 614 49 962,info@draugus.lt,www.draugus.lt,I - V 10:00 - 14:00,,PLAYING ROOMS
19,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-tadas-ivanauskas-museum-of-zoology/,Kaunas Tadas Ivanauskas Museum of Zoology,"Laisvės al. 106, Kaunas ",+370 37 200 292,info@zoomuziejus.lt ,www.zoomuziejus.lt,II-VII 10 A.M. - 6 P.M.,,MUSEUM
20,http://visit.kaunas.lt/en/to-see/top/lietuvos-zoologijos-sodas/,Lithuanian zoological garden,"Radvilėnų pl. 21, Kaunas",+370 37 332 540,info@zoosodas.lt,www.zoosodas.lt,"January - March, November and December I-VII 9:00 - 17:00, April and October 9:00 - 18:00, May - September mėn. 9:00 - 19:00",,TOP
21,http://visit.kaunas.lt/en/to-see/top/devils-museum/,Devils museum,"V. Putvinskio g. 64, Kaunas ",+370 37 221 587,mkc.velniai@ciurlionis.lt,www.ciurlionis.lt,"II-III 11:00 - 17:00, IV 11:00 - 19:00, V - VII 11:00 - 17:00",,TOP
22,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/historical-military-equipment-exhibition/,"Historical, military equipment exhibition","S.Dariaus ir S.Girėno g. 29A, Kaunas",+370 682 27 122,info@retromobile.lt,www.retromobile.lt,The exhibition can be visited by early agreement,,MUSEUM
23,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/baltic-circus-clowns-museum/,Baltic circus clowns Museum,"Drobės g. 31, Kaunas",+370 670 16 445,baltijos@cirkas.lt,www.cirkas.lt,Arranged in advance,,MUSEUM
24,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/museum-of-lithuanian-aviation/,Museum of Lithuanian aviation,"Veiverių g. 132, Kaunas ",+370 37 390 357,aviacijos.muziejus@gmail.com,www.lam.lt, I - VI 9 AM - 5 PM,,MUSEUM
25,http://visit.kaunas.lt/en/to-see/places-to-visit/tallest-marine-aquarium-in-the-baltics/,,,,,,,,PLACES TO VISIT
26,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/kaunas-city-museum-mikas-and-kipras-petrauskas-house/,KAUNAS CITY MUSEUM - MIKAS AND KIPRAS PETRAUSKAS HOUSE,"K. Petrausko g. 31, Kaunas",+370 37 733 371,,www.kaunomuziejus.lt," II – V 10 AM – 6 PM, VI 10 AM – 5 PM",,MUSEUM
27,http://visit.kaunas.lt/en/to-see/museums-and-galleries/museum/museum-of-children-literature/,Museum of Children Literature,"K. Donelaičio g. 13, Kaunas ",+370 37 206 488,daiva.sarkanauskaite@maironiomuziejus.lt ,www.maironiomuziejus.lt,II – VI 9 AM – 5 PM,,MUSEUM
28,http://visit.kaunas.lt/en/to-do/culture-cinema/theater/kaunas-puppet-theatre/,KAUNAS PUPPET THEATRE,"Laisvės al. 87a, Kaunas ",+370 37 227 158,info@kaunoleles.lt ,www.kaunoleles.lt,,"Established in 1958 the KAUNAS PUPPET THEATRE registers in its chronicle more than 180 puppet performances, a great number of tours to foreign countries, such as Hungary, Italy, Poland, Bulgaria, Finland, Denmark, Sweden, Germany, Czech Republic, Former Soviet Republics and remote countries of Latin America and festivals in many of them. Following the idea, generated by the founders of the Theatre, spouses Stasys Ratkevicius and Valerija Ratkeviciene, that everything what is being done at the theatre, should belong to the little ones, the theatre of today alongside with traditional classical puppet performances should be searching for new and engaging ways of association with little spectators who, through displayed kindness and beauty, would experience the utmost satisfaction and impact on their consciousness and feelings. Based on this point of view, new traditions of new theatrical arrangements during the last decade were generated in the Theatre.",THEATER
29,http://visit.kaunas.lt/en/to-do/for-children/playing-rooms/mazi-basi/,"""Maži basi""","Žemaičių pl. 37, Kaunas",+370 620 23 666,info@mazibasi.lt,www.mazibasi.lt,,,PLAYING ROOMS
